,Sentence,Entity1,Entity2,relation
1114,"In his second-round match , the ninth-seeded Roddick eliminated Kristian Pless , a qualifier from Denmark , 6-3 , 7-6 (3) , 6-3 , in 91 minutes .",Roddick,Kristian,eliminated
1115,"Although Massachusetts elected Edward W. Brooke , an African-American , attorney general in 1962 and senator in 1966 and 1972 , court-ordered desegregation in the 1970s opened an ugly chapter in Boston 's racial history .",Massachusetts,Edward,elected
1116,"The statement , issued Friday at 10:30 p.m. , followed a dinner in Detroit attended by Carlos Ghosn , the chief executive of Renault of France and Nissan of Japan , and Rick Wagoner , who runs General Motors .",Detroit,Carlos,attended
1117,"A10 U.S. Sees Few Options in Darfur Bush administration officials say they have few , if any , promising policy options left for containing the violence in the Darfur region of Sudan .",A10 U.S.,Few,Sees
1118,"President Yoweri Museveni of Uganda said Friday that the helicopter crash that killed John Garang , the Sudanese rebel leader who became vice president , might not have been an accident and that an international inquiry would determine the truth . ''",Uganda,Friday,said
1119,"Antibalas gets its funk by way of Nigeria , where Fela Kuti concocted Afrobeat to meld politics and propulsion ; it 's a large band that has made Fela 's burly grooves its own .",Fela Kuti,Afrobeat,concocted
1120,"Edward Heath Is Dead ; Led Britain in Early 70 's Sir Edward Heath , who as prime minister took Britain into the European Economic Community in 1973 and for decades was the Conservative Party 's leading advocate of European unity , died at his home in Salisbury , his spokesman said .",prime minister,Britain,took
1121,"In two setbacks for high school exit exams , a judge in Oakland said Tuesday that he was inclined to ban such tests as a graduation requirement in California and a Massachusetts school board voted to issue diplomas to students who had failed such tests despite a state law prohibiting that .",Oakland,Tuesday,said
1122,"Ms. Peabody joined Boeing in 1980 as an engineer and worked for three years in the London office before returning to the United States in 2001 to the company 's headquarters , then in Seattle .",Ms. Peabody,Boeing,joined
1123,"Describing the gun violence on Hartford 's streets as '' horrific , '' Gov. M. Jodi Rell authorized Connecticut 's state troopers on Thursday to start patrolling the city and assisting the Hartford police .",Jodi Rell,Connecticut,authorized
1124,"B1 FASHION B6-7 SPORTSMONDAY D1-12 Roger Federer Wins U.S. Open Roger Federer of Switzerland defeated 35 year-old Andre Agassi in the final round of the United States Open by a score of 6-3 , 2-6 , 7-6 (1) , 6-1 .",Roger Federer,U.S.,Wins
1125,"Facing tough questions about the Bush administration 's proposed deal to aid India 's civilian nuclear program , Secretary of State Condoleezza Rice told Congress on Wednesday that she would press New Delhi to back up its stated commitment to stop the spread of nuclear arms .",Condoleezza Rice,Congress,told
1126,"What I can guarantee you is that we will make every effort to push that process forward , '' Ms. Rice told Senator John Kerry , Democrat of Massachusetts , at a hearing on the Senate Foreign Relations Committee .",Ms. Rice,Senator,told
1127,"And Lillehammer upset Sofia , Bulgaria , for the 1994 Winter Games by essentially winning the Scandinavian cross-country ski vote -LRB- no , really -RRB- .",Lillehammer,Sofia,upset
1128,Prime Minister Ariel Sharon opened Israel 's regular Sunday cabinet meeting by denouncing the Kol killings as another act of Palestinian terrorism against civilians . '',Ariel Sharon,Israel,opened
1129,"Funeral Services will Milward Mortuary , Broadway in Lexington with a private inurnment in Cave Hill Cemetery in Louisville , Kentucky on Saturday , October 28 , 2006 .",Funeral Services,Milward,will
1130,"In 1984 , Mr. Marquard established Eaglestone Farm near Lexington , Kentucky , which is engaged in thoroughbred horse breeding and cattle raising .",Mr. Marquard,Eaglestone,established
1131,"I 'd say 60 percent of Canadians believe Wayne 's great and that he did n't do anything and are offended by any suggestion that he 's done anything wrong , '' said Bob McCown , a broadcaster with the Toronto sports radio station the Fan 590 . ''",Canadians,Wayne,believe
1132,"The announcement of the textile resolution came on a day when Mr. Blair met China 's prime minister and its president , Hu Jintao , to discuss cooperation between Brussels and Beijing .",Mr. Blair,China,met
1133,"By August 2003 , the N.C.A.A. investigated Clarett and Ohio State after he filed a police report in April claiming that more than $ 6,000 in clothing , cash and stereo equipment was stolen from a car that was on loan from a dealership in Columbus , Ohio .",N.C.A.A.,Clarett,investigated
1134,"A1 Iranian Minister Visits Iraq Iran sent Kamal Kharrazi , its foreign minister , to Baghdad 48 hours after Secretary of State Condoleezza Rice became the first high-level visitor to hold talks with Iraq 's new Shiite majority government .",Iranian Minister,Iraq,Iranian
1135,"When Mr. Ratner approached Mr. Gehry , he told him he wanted an arena with the intimacy of the architect 's Walt Disney Concert Hall in Los Angeles , whose concave and convex panels give the performance space a womblike intimacy .",Mr. Ratner,Mr.,approached
1136,"-LRB- Sisario -RRB- HOLD STEADY , CONSTANTINES -LRB- Wednesday -RRB- Like a meeting of AC\/DC and the E Street Band fronted by Shane MacGowan of the Pogues , the Hold Steady -- from Brooklyn , but with Minneapolis origins -- plays bare-knuckled guitar-rock , while its singer , Craig Finn , free-associates about religion and sex in a boozy snarl . ''",Street Band,Shane,fronted
1137,"A12 Congressman Admits Crimes Representative Bob Ney , Republican of Ohio , admitted that he had effectively put his office up for sale to corrupt Washington lobbyists .",A12 Congressman,Crimes,Admits
1138,"About a month ago , a day after the United States offered to hold direct talks with Iran over its own nuclear program , North Korea invited Mr. Hill for direct talks in Pyongyang , the capital .",North Korea,Mr.,invited
1139,"Indeed , in Tehran on Sunday , Mr. Larijani reiterated Iran 's position that it would not freeze small-scale production of nuclear fuel even if its case came before the Security Council .",Mr. Larijani,Iran,reiterated
1140,"Sir Edward Heath , who as prime minister took Britain into the European Economic Community in 1973 and for decades was the Conservative Party 's leading advocate of European unity , died yesterday at his home in Salisbury , his spokesman said .",prime minister,Britain,took
1141,"Negotiations with the Europeans took most of 1961 and 1962 , and in January 1963 , in a final meeting , Foreign Minister Maurice Couve de Murville of France told Mr. Heath , '' No power on earth can now prevent these negotiations from being successful . ''",France,Mr.,told
1142,A8 Iraq Begins Audit of Vote Electoral tally sheets from Iraq 's provinces began arriving in Baghdad as Iraqi officials pushed forward with an audit of the nationwide vote on a new constitution .,A8 Iraq,Audit,Begins
1143,"In Kuwait , he would have had better access to radical Islamic networks , because Saddam Hussein ran Iraq as a police state and did not allow radical Islam to spread .",Saddam Hussein,Iraq,ran
1144,"Sharapova , a Siberian turned Floridian , also trains in the Los Angeles area with Robert Lansdorp , who has coached Lindsay Davenport , Tracy Austin and Pete Sampras .",Siberian,Floridian,turned
1145,"PEYSER -- Seymour M. Died October 14 , 2005 in Sarasota , Florida from pneumonia .",Seymour M.,October,Died
1146,"Representative Anthony D. Weiner visited St. Augustine 's Episcopal Church in Flatbush , Brooklyn .",D. Weiner,St.,visited
1147,"Last week , President Hamid Karzai of Afghanistan urged NATO forces to use caution while battling Taliban forces .",Afghanistan,NATO,urged
1148,Mr. Jeffs left Colorado City shortly after the first church polygamist in more than 50 years was convicted of bigamy and unlawful sex with a minor in a Utah state court in nearby St. George .,Mr. Jeffs,Colorado,left
1149,"FORD SETTLES FOR THIRD -- The Ford Motor Company expects Toyota of Japan to unseat it for good next year as the No. 2 company in the American car market behind General Motors , a position Ford has held since the 1920s .",Motor Company,Toyota,expects
1150,"C1 Jail Contract Found Illegal State officials have reached a preliminary conclusion that New York City 's $ 300 million contract for medical care at Rikers Island is illegal because it violates a state law regulating for-profit medical companies , according to the State Commission of Correction .",Jail,Illegal,Found
1151,"In a rebuke from Republicans at a separate hearing , Senator John McCain of Arizona scolded Defense Secretary Donald H. Rumsfeld for the administration 's insistence on seeking money for operations in Iraq and Afghanistan as emergency spending separate from the budget debate , even though the wars have been fought for years . ''",Arizona,Defense,scolded
1152,"A1 West Bank and Gaza Sealed Israel sealed off the West Bank and Gaza , reoccupied Tulkarm and declared the Jewish settlements in the Gaza Strip a closed military zone in an energetic response to a Palestinian suicide bombing .",Gaza,Israel,Sealed
1153,"Agriculture in Red Hook Produce cultivated by Added Value , an urban agriculture program that works with young people in Red Hook , Brooklyn , will be featured in a harvest festival through Saturday at Ici , 246 DeKalb Avenue -LRB- Vanderbilt Avenue -RRB- in Fort Greene , Brooklyn , (718)789-2778 .",Hook Produce,Added,cultivated
1154,"Italy to Set Withdrawal Dates MESSINA , Sicily , Nov. 25 -LRB- Reuters -RRB- -- Italy will spell out the dates of a planned phased withdrawal of its 2,900 troops in Iraq in the next few weeks , Prime Minister Silvio Berlusconi said Friday .",Set Withdrawal,MESSINA,Dates
1155,"National Gallery Buys Hughes Sketch by Plath The National Portrait Gallery of Britain paid $ 48,500 to buy the only known surviving picture of Ted Hughes by Sylvia Plath at an auction on Monday at Bonhams in London .",National Gallery,Hughes,Buys
1156,"There was Marco Materazzi of Italy grabbing Zidane 's shirt and holding him as they lumbered up the field -- just your basic soccer grappling , boys being boys .",Italy,Zidane,grabbing
1157,"Finally , Brown took issue with the notion that Marbury could be given the same offensive license that Brown gave Allen Iverson in Philadelphia .",Brown,Allen,gave
1158,"Thus , the question to ask as the confounded Americans trailed Finland by 4-2 on their way to a 4-3 defeat only hours before Canada would also be eliminated from the Olympic hockey tournament last night was : '' Do you believe in markets outside North America ? '' ''",Americans,Finland,trailed
1159,"Israel annexed East Jerusalem after capturing it from Jordan in 1967 , but the move has never been recognized internationally .",Israel,East,annexed
1160,"Report From Spitzer Says Ex-Chief Of A.I.G. Defrauded Foundation Eliot Spitzer , the New York attorney general , submitted a report as part of his lawsuit against Maurice R. Greenberg , the former chief executive of American International Group , contending that Mr. Greenberg unfairly enriched himself and other A.I.G. executives in a series of transactions that violated the will of Cornelius Vander Starr , the company 's founder , and defrauded a foundation he created .",Spitzer,Ex,Says
1161,"In February 2004 , President Vladimir Putin fired Mikhail Kasyanov as Russia 's prime minister .",Vladimir Putin,Mikhail,fired
1162,"In court documents that are Apex Digital 's first extensive response to the accusations , company executives say that the television maker , Sichuan Changhong Electric , falsely stated that Apex had failed to make payments owed Changhong , and that Changhong required Apex 's president , David Ji , to sign agreements unfavorable to Apex while held under arrest . ''",Changhong,Apex,required
1163,"A8 Beslan Officers Stand Trial The top supervisors in the Beslan , Russia , district police station are standing trial for criminal negligence for failing to take adequate steps to protect School No. 1 , which was seized by members of a Chechen militant group in the fall of 2004 , leading to the deaths of nearly 200 of the town 's children .",Beslan,Trial,Stand
1164,"Mr. Olmert says Israel will keep some 10 percent of the occupied West Bank , including East Jerusalem , possibly in a swap for land elsewhere .",Mr. Olmert,Israel,says
1165,"In the past half decade , South Korea had surged forward on different levels , as companies like Samsung overtook Sony , the '' Korean Wave '' of pop culture spread throughout Asia and the country became the world 's most wired nation .",Samsung,Sony,overtook
1166,"Mr. Lieberman said Mr. Bush deserved credit for at least two things : the overthrow of Saddam Hussein and the continued American military presence in Iraq , which he said showed '' the proven willingness of the United States to put its power behind its principles . ''",Mr. Lieberman,Mr.,said
1167,"Before the uprising , 150,000 Palestinians from Gaza and the West Bank entered Israel every day , mostly to work .",West Bank,Israel,entered
1168,"In an episode being shown today , Buster visits Fort Leonard Wood , an Army post in Missouri , to meet the family of a father who is stationed in Iraq .",Buster,Fort,visits
1169,"When I traveled around Iraq during and after the war , I was stunned by the number of ordinary Iraqis who told me that President Bush and Saddam Hussein were secret chums , with the U.S. paying Saddam huge bribes so that he would give Washington an excuse to invade and plunder Iraqi oil .",U.S.,Saddam,paying
1170,Political analysts in Tehran say Iran 's position is stronger than it was when the talks with Europe began .,Tehran,Iran,say
1171,"The 16-team African Cup of Nations begins Jan. 20 , when host Egypt plays Libya in Cairo .",Nations,Jan.,begins
1172,"ST. FINBAR ROMAN CATHOLIC CHURCH FESTIVAL , Bay 18th and 19th Streets , from Bath to Benson Avenues , Bensonhurst , Brooklyn .",FINBAR,CATHOLIC,ROMAN
1173,"The first time Pedro Martinez faced Atlanta 's John Smoltz this season , on April 10 , he was responsible for terminating the Mets ' season-opening five-game losing streak .",Pedro Martinez,Atlanta,faced
1174,"INTERNATIONAL A3-14 Mideast Leaders Declare Truce at Summit Meeting Mahmoud Abbas , the Palestinian president , and Ariel Sharon , the prime minister of Israel , declared a truce in hostilities during a summit meeting in Egypt .",Mideast,Truce,Declare
1175,His outreach to Nascar devotees and bluegrass fans in southern Virginia struck Democrats in the urban North -- as well as many of those across the Potomac River in Washington -- as unseemly pandering .,Virginia,Democrats,struck
1176,The remaining Rodriguezes are Yankees reliever Felix and Texas starter Ricardo .,Yankees,Felix,reliever
1177,"C1 Lutz Creates Sporty Saver Robert A. Lutz , General Motors ' vice chairman and product development chief , is banking on the success of the Pontiac Solstice , a two-seat sports car expected to retail for just under $ 20,000 and the first vehicle created from start to finish during his tenure .",C1 Lutz,Sporty,Creates
1178,"He argues that it would be unsafe for Israel to hand over large areas of the West Bank to a Palestinian Authority led by Hamas , which refuses to recognize Israel 's right to exist , even though it says it is prepared to negotiate a long-term '' truce '' with Israel in its pre-1967 borders .",Palestinian Authority,Hamas,led
1179,"North Korea declared Saturday that it would not take part in any new rounds of talks , and over the weekend , China sent a delegation to the capital , Pyongyang .",North Korea,Saturday,declared
1180,A 3-1 victory in the World Cup qualifier in Buenos Aires last Wednesday sent Argentina to the World Cup . '',Wednesday,Argentina,sent
1181,"Few countries have destroyed one of their own cities the way Russia sacked Grozny in 1999 and 2000 , beginning a new cycle of insurgency and counterinsurgency in a republic that has long defied Moscow 's rule .",Russia,Grozny,sacked
1182,The United Nations panel investigating the oil-for-food program in Iraq said Tuesday that it had begun '' urgently reviewing '' a newly disclosed memo that seems to contradict Secretary General Kofi Annan 's denials of any involvement in the awarding of a major contract to his son 's employer .,Iraq,Tuesday,said
1183,"For the 12th year , the Nascar greats Kyle and Richard Petty lead more than 250 motorcyclists from Idaho to North Carolina to raise money for children 's hospitals .",Nascar,Kyle,greats
1184,"Massacres of Armenians Recalled STRASBOURG , France , Sept. 28 -LRB- Reuters -RRB- -- The European Parliament gave only a grudging blessing on Wednesday to membership talks with Turkey starting next week and said Ankara must recognize the massacres of Armenians during the years around 1915 as genocide before it can join the Euopean Union .",Armenians,STRASBOURG,Recalled
1185,The 553-lot sale includes several fine early-19th-century American antiques ; a white marble Regency chimneypiece acquired for the main house by Thomas Jefferson ; a cigar-store Indian princess ; a 1755 map of Virginia drawn by Joshua Fry and Peter Jefferson -LRB- father of the future president -RRB- ; and one of the most elaborate picnic hampers around . '',Virginia,Joshua,drawn
1186,"A1 Nigerian Leader Flees Charges As Nigeria 's federal government has tried to rehabilitate the country 's image around the world , Diepreye Alamieyeseigha , the governor of a small oil-producing state in the Niger Delta , fled money-laundering charges by donning a dress and a wig to match forged travel documents , government officials said .",Nigerian,Charges,Nigerian
1187,1925 The News -- Scientists won a battle in the war over evolution that has been playing out in public schools since John T. Scopes broke Tennessee law to teach it in 1925 .,T. Scopes,Tennessee,broke
1188,"Albert Pujols and David Eckstein represented St. Louis even though Rolen was absent , and they sent postcards to Mark Grudzielanek saying , '' Having a great time ; wish you were here . ''",David Eckstein,St.,represented
1189,"CALLAN -- Curtis Gove , Sr , 88 , of Hightstown , New Jersey died Saturday , June 4 , 2005 .",New Jersey,Saturday,died
1190,"On July 17 , 1993 , Agathe Uwilingiyimana became Rwanda 's first , and Africa 's second , female prime minister .",Agathe Uwilingiyimana,Rwanda,became
1191,"INTERNATIONAL A3-14 Bush Gives Sharon 's Plan Both Support and Criticism President Bush and Prime Minister Ariel Sharon of Israel differed over Israel 's intention to expand a settlement in the West Bank , but Mr. Bush gave the Israeli leader backing for his plan to withdraw from Gaza .",Bush,Sharon,Gives
1192,"With the Mets leading by one run in the eighth , the St. Louis sluggers Albert Pujols and Jim Edmonds took awkward swings and sent shallow flies to left field .",St. Louis,Albert,sluggers
1193,"In Florida , Hurricane Rita lashed Key West as it passed about 50 miles south of the island on Tuesday afternoon , flooding roads , yards and beaches through much of the Keys but not inflicting the severe damage many had feared .",Hurricane Rita,Key,lashed
1194,Mr. Bush said Tuesday that he had also spoken to Gov. Rick Perry of Texas '' on the planning for what we pray is not a devastating storm -- but there 's one coming . '',Mr. Bush,Tuesday,said
1195,"But Mr. Cross told Mr. Tagliabue and the Giants that the team was also considering plans to build a stadium in Queens , northeast of Shea Stadium on about 15 acres in Flushing Meadows-Corona Park , according to four executives who had been briefed on the meeting .",Mr. Cross,Mr.,told
1196,"Opens today in Manhattan Directed by Allan Mindel R , 95 minutes An idiot savant in crisis is an old cinematic saw , and '' Milwaukee , Minnesota '' presents Troy Garity as a Wisconsin man with cognitive impairments but enviable intuition , especially when it comes to finding fish in half-frozen lakes .",Manhattan,Allan,Directed
1197,"The police in Fort Lauderdale announced Tuesday that three men had been arrested in the 2001 gangland-style murder of a prominent Florida businessman there , a killing that occurred in the midst of a bitter , well-publicized dispute with the Washington lobbyist Jack Abramoff .",Fort Lauderdale,Tuesday,announced
1198,A headline yesterday about the comments of Saddam Hussein overheard during recesses at his war-crimes trial in Baghdad misstated Mr. Hussein 's status in Iraq 's criminal justice system .,Baghdad,Mr.,misstated
1199,"When the Pistons lost Game 7 of the N.B.A. Finals on Thursday night -- down in a state , Texas , to which Michigan continues to lose population and House seats ; in a city , San Antonio , where Toyota will open a $ 800-million plant next year ; in an arena , the SBC Center , whose very name bespeaks New Economy greatness -- I did n't swear or weep .",Pistons,Game,lost
1200,"Airbus employs 12,000 people in Germany , and officials in Berlin warned Mr. Enders last week not to make Germany bear the brunt of cutbacks .",Berlin,Mr.,warned
1201,"Washington has now become dangerously dependent on the good will and constructive behavior of Shiite fundamentalist parties that Iran sheltered , aided and armed during the years that Saddam Hussein ruled Iraq .",Saddam Hussein,Iraq,ruled
1202,NO writer owns New York -- not the way that William Kennedy owns Albany or Raymond Chandler once owned Los Angeles .,William Kennedy,Albany,owns
1203,"-LRB- B.R. -RRB- '' WYNTON & LOUIS ARMSTRONG 'S HOT FIVES '' With a core group drawn from the Lincoln Center Jazz Orchestra , as well as the New Orleans banjoist Don Vappie , Wynton Marsalis redecorates Louis Armstrong 's Hot Five repertory , some of the earliest great jazz recordings of the late 1920 's .",Wynton Marsalis,Louis,redecorates
1204,"GRAN PARADISO NATIONAL PARK , ITALY Originally a royal hunting reserve , Gran Paradiso became Italy 's first national park in 1922 .",Gran Paradiso,Italy,became
1205,"A3 NATIONAL A8-12 , 16 Rita Lashes Gulf Coast ; Dozens Die on Evacuee Bus Hurricane Rita began lashing coastal cities up and down Louisiana and Texas with hurricane force winds , bringing fires in Galveston and breaching levees again in New Orleans .",Rita,Gulf,Lashes
1206,"Marbury left Saturday 's short practice before reporters were allowed in , but had some curious things to say about playing with Garnett when he was interviewed in November on Stephen A. Smith 's program on ESPN , '' Quite Frankly . ''",Marbury,Saturday,left
1207,"Group Hopes to Prove Chemicals Killed Kurds Doctors , scientists and Middle East experts who have studied Iraq 's use of chemical weapons against its Kurdish citizens in the 1980 's are trying to collect new data in an effort to define the scope of a distant tragedy that is only now coming under scrutiny in an Iraqi court .",Chemicals,Kurds,Killed
1208,"A bruiser in the post , Davenport was the main reason Ohio State beat Rutgers , 52-50 , on Jan. 16 in Columbus , Ohio . ''",Ohio State,Rutgers,beat
1209,"More than a year after gay marriage became legal in Massachusetts , Gov. Mitt Romney said Thursday that he would support a newly proposed amendment to the state Constitution that would overturn that right . ''",Mitt Romney,Thursday,said
1210,Consider that New York has just gotten past John Eliot Gardiner and his Orchestre Revolutionnaire et Romantique playing Mozart 's last three symphonies at Alice Tully Hall and looks ahead to Daniel Barenboim and the Berlin Staatskapelle playing Mozart 's last three symphonies over two concerts at Carnegie Hall tonight and tomorrow .,et Romantique,Mozart,playing
1211,"THE ARTS , PAGE E1 Spitzer Fills Out Ticket Attorney General Eliot Spitzer has chosen David A. Paterson , a powerful state senator from Harlem , to be his running mate in the 2006 New York governor 's race , advisers said .",E1 Spitzer,Out,Fills
1212,"Meanwhile , Washington 's initiatives around the globe receive dour news coverage in Latin America , from the war in Iraq to prisoner abuses in Afghanistan and Guantanamo Bay , Cuba .",globe,dour,receive
1213,Then the Yankees traded Brazoban and Jeff Weaver to Los Angeles for Kevin Brown .,Yankees,Brazoban,traded
1214,"NOTES Ian Woosnam , the European Ryder Cup captain , named Darren Clarke of Northern Ireland and Lee Westwood of England as his two captain 's selections , completing the 12-man squad that will face the United States beginning Sept. 22 at the K Club in Straffan , County Kildare , Ireland .",United States,Sept.,beginning
1215,"Initially , Mr. Lieberman cited Mr. Kerrey 's comments about Saddam Hussein , saying that overthrowing him had helped make the Middle East safer , but he conceded that terrorists had '' poured into Iraq now . ''",Mr. Lieberman,Mr.,cited
1216,"The insurgent group Al Qaeda in Iraq said Thursday that it had killed Egypt 's ambassador-designate in Iraq , Ihab al-Sharif , four days after gunmen seized him on a street in a diplomatic quarter in western Baghdad , where he had driven alone to buy a local newspaper .",Iraq,Thursday,said
1217,The fashion designer John Galliano made Marie Antoinette his muse in his haute couture show in Paris early this year .,John Galliano,Marie,made
1218,China considers Taiwan a breakaway province and insists its policy regarding the island is a domestic matter . '',China,Taiwan,considers
1219,"Nearly five years ago , strangers in New York helped Muctarr Jalloh and eight other refugees of Sierra Leone 's civil war escape the violence in the West African nation and make their way to a new life on Staten Island .",New York,Muctarr,helped
1220,"Rabbi Lawrence Schiffman , a professor of Hebrew and Judaic Studies at New York University and an expert on early Christianity , notes that in the canonical Gospel of John , Jesus urges Judas to carry out his betrayal without delay so that God 's will might be done : '' What you are going to do , do quickly . ''",Jesus,Judas,urges
1221,"In the emergency Sunday meeting of the Security Council requested by Lebanon , Mr. Annan said , '' We meet at a moment of extreme gravity , first and foremost for the people of the Middle East , but also for the authority of this organization , especially this Council . ''",Security Council,Lebanon,requested
1222,"Earlier this year , as England marked Holocaust Memorial Day on Jan. 27 , an advertisement appeared on the Labour Party Web site likening Michael Howard , the Jewish leader of the opposition Conservative Party , to Fagin , the iconic stereotype of the miserly , conniving Jew in Charles Dickens 's '' Oliver Twist . ''",England,Holocaust,marked
1223,"President Hu Jintao of China said Friday that his political concept of maintaining the '' advanced nature '' of the Communist Party was the key to its survival , while warning that corruption threatened to undermine its hold on power .",China,Friday,said
1224,"A8 Woman Takes Office in Liberia Ellen Johnson Sirleaf , the Harvard-trained banker and survivor of Liberia 's politics , became Africa 's first female head of state .",A8 Woman,Office,Takes
1225,"The head of the city council of Kirkuk said Friday that Nashat Mahdi Saleh , the brother of the speaker of the National Assembly , Hajim al-Hassani , had been arrested by Iraqi police officers and American troops for having ties to insurgents .",Kirkuk,Friday,said
1226,"To the Editor : President Bush assured President Vicente Fox of Mexico that the use of National Guard troops on the border is only '' temporary '' -LRB- front page , May 15 -RRB- .",President Bush,President,assured
1227,Cincinnati quarterback Carson Palmer stood behind a lectern at Paul Brown Stadium and described this season 's Bengals as a mature and single-minded unit that has learned to channel its energy and hold its concentration .,Cincinnati,Carson,quarterback
1228,"A1 Prison Overhaul Considered Gov. Arnold Schwarzenegger and state lawmakers from both parties say the time is ripe for the first major overhaul of the California prison system , among the most troubled in the nation , since the 1970s .",Prison,Gov.,Considered
1229,"Pressing tests of cooperation abound : the Iraq war , a Middle East changed by Yasir Arafat 's death , the slow-building potential missile crisis in Iran , Ukraine 's democratic transition . ''",Middle East,Yasir,changed
1230,"In what seemed a calculated political gamble , President Carlos Mesa of Bolivia offered Congress his resignation on Monday in the face of road-choking protests that he said had made the country nearly ungovernable . ''",Bolivia,Congress,offered
1231,"After that , in his first job in the wine and spirits industry , which became his lifelong career , Mr. Chaplin joined Ontario Liquor Distributors , a wine and spirits wholesaler , which was based in Rochester , New York , and where over the years he rose to the post of General Manager .",Mr. Chaplin,Ontario,joined
1232,"After news of the funeral blast , Secretary General Kofi Annan of the United Nations urged Iraqis '' to refrain from any action which could undermine Iraq 's democratic progress . ''",United Nations,Iraqis,urged
1233,"North Korea announced Tuesday that it intended to conduct its first nuclear test , prompting warnings from Tokyo to Washington that an underground explosion would lead to a sharp response and could undermine the security balance in Asia .",North Korea,Tuesday,announced
1234,President Hamid Karzai of Afghanistan spoke Monday with President Bush about the treatment of Afghan prisoners held by the United States .,Afghanistan,Monday,spoke
1235,The United Nations special envoy to Sudan said Tuesday that violence was rising in Darfur and that lack of progress in the south was jeopardizing a peace agreement that ended a separate conflict there .,Sudan,Tuesday,said
1236,"If a new government without Fidel Castro keeps Cuba on the path he set , what will our justification be for continuing our immoral embargo ?",Fidel Castro,Cuba,keeps
1237,"As Cooper notes , Palladio was guided in his religious architecture by the example of Michelangelo , who forged a language of greatness in Rome with St. Peter 's and Santa Maria degli Angeli , which is carved out of the Baths of Diocletian .",Santa Maria,Angeli,degli
1238,"The Islamists attacked Baidoa , the seat of the transitional government , on Dec. 20 ; a few days later , they announced that Somalia was open to Muslim fighters around the world who wanted to wage a holy war against Christian-led Ethiopia .",Islamists,Baidoa,attacked
1239,"-------------------- Iran Asserts Right to Defend Itself By The New York Times LONDON , Feb. 16 -- Iran seeks stability in the Middle East and greater interaction with the rest of the world , but it is prepared to defend itself in the event of an attack , the Iranian ambassador to Britain said Wednesday evening . ''",Britain,Wednesday,said
1240,"Canada provides a16 percent refundable tax credit on labor costs , with no cap ; the provinces of Ontario and British Columbia add 18 percent more , while Manitoba offers a whopping 45 percent credit for labor costs , according to the California Film Commission .",Canada,a16,provides
1241,Secretary of State Condoleezza Rice called Belarus '' the last true dictatorship in central Europe . '' '',Condoleezza Rice,Belarus,called
1242,"Pixar describes Steve Jobs and Ed Catmull as the company 's co-founders , and Mr. Lasseter as '' a founding member . ''",Pixar,Steve,describes
1243,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , today through Sunday at 2 p.m. , meeting in front of the Marriott , Adams and Tillary Streets , downtown Brooklyn .",TOUR SERVICE,Brooklyn,visits
1244,Shaky goalkeeping at the other end by Roberto Abbondanzieri kept Argentina on edge through the rest of the half .,Roberto Abbondanzieri,Argentina,kept
1245,"Having refused to perform any longer at Bayreuth after Hitler came to power in 1933 , he decamped to Salzburg and worked there until 1938 , when Germany annexed Austria with , the film points out , the support of 97 percent of the population , according to a plebiscite at the time .",Germany,Austria,annexed
1246,"Weatherford International said Monday that it would buy two divisions of the Precision Drilling Corporation , an oil services company based in Calgary , Alberta , for about $ 2.28 billion in cash and stock .",Weatherford International,Monday,said
1247,"One of the men , a 28-year-old Moroccan named Youssef Belhadj , was arrested in Belgium in 2004 and extradited to Spain in connection with the Madrid bombings .",Moroccan,Youssef,named
1248,Civil rights groups filed a federal lawsuit on Thursday accusing Nassau County and Garden City of perpetuating segregation through new zoning restrictions on 25 acres of prime real estate here scheduled for upscale development .,Thursday,Nassau,accusing
1249,"Ms. Clark , the New Haven activist , said she believed the outcry in Connecticut forced Mr. Lieberman to retreat . ''",Connecticut,Mr.,forced
1250,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , Brooklyn , today and tomorrow at 2 p.m. On Sunday at 3:15 p.m. , a gospel tour will include a look at historic Thanksgiving celebrations .",TOUR SERVICE,Brooklyn,visits
1251,"Kevin Burke , born in London to Irish parents , plays in the ornamental Sligo style of Ireland ; Christian Lemaitre represents Brittany , France 's Celtic region .",Christian Lemaitre,Brittany,represents
1252,"If Dr. Dobson knows something that he should n't know or something that I ought to know , I 'm going to find out , '' Mr. Specter said Sunday in an interview with George Stephanopoulos on the ABC News program '' This Week . ''",Mr. Specter,Sunday,said
1253,"Two weeks ago , Ms. Rice instructed Stephen A. Seche , the charge d'affaires at the United States Embassy in Damascus , to approach Syria 's foreign minister , Walid al-Moallem in Damascus .",Ms. Rice,Stephen,instructed
1254,"To the Editor : Re '' Bush Makes Surprise Visit to Iraq to Press Leadership '' -LRB- front page , June 14 -RRB- : It is too soon to judge the overall effectiveness of President Bush 's surprise visit to Baghdad , but using the opportunity of a trip to the region to initiate talks with Iran over its atomic program and regional peace would have surprised not only America but the world as well .",Bush,Surprise,Makes
1255,"I 've given more thought to it , '' Jackson said Sunday by telephone from Santo Domingo , Dominican Republic . ''",Jackson,Sunday,said
