,Sentence,Entity1,Entity2,relation
1181,The freshman forward Shawne Williams led Memphis with 26 points .,Shawne Williams,Memphis,led
1182,"While Ms. Stephenson tours Galapagos and Bali , Mr. Connolly divides the time he is not on tour between their estate in Aberdeenshire , Scotland ; the house in Malta ; and the yacht , wherever it happens to be .",Ms. Stephenson,Galapagos,tours
1183,"BIG EAST\/PITTSBURGH -- West Virginia routed Marshall , 42-10 ; Rutgers held on to win at North Carolina , 21-16 ; and Louisville rolled against Kentucky , 59-28 .",West Virginia,Marshall,routed
1184,"With Scott Rolen already on the disabled list , St. Louis sat Jim Edmonds on Friday and Larry Walker on Saturday and gave Albert Pujols his first rest yesterday .",St. Louis,Jim,sat
1185,"He admitted he was overaggressive , but he had to be because the only other hitter the Atlanta aces John Smoltz , Greg Maddux and Tom Glavine had to worry about was Jeff Bagwell , who also had his aggressiveness used against him .",Atlanta,John,aces
1186,"In the days since William F. Weld left Decker College here to focus on a race for governor of New York , the commercial trade school has been raided by federal agents , declared bankruptcy and left hundreds of students marooned without classes .",F. Weld,Decker,left
1187,Several former American intelligence officials have said that the C.I.A. operatives who took part in the abduction of the Egyptian left Italy long ago and that the agency 's station chief in Rome at the time is now stationed elsewhere .,Egyptian,Italy,left
1188,"It was the second big appointment for the travel unit in nearly a month ; in March , Cendant named Gordon M. Bethune , the former chairman of Continental Airlines , as chairman of the division .",Cendant,Gordon,named
1189,"Citing steps China has taken as part of its five-year economic plan , Mr. Hu said Beijing would seek to stimulate more consumer-led growth , in part by improving the social safety net so that consumers felt comfortable spending money rather than saving it at record high levels for health , education and retirement . ''",Mr. Hu,Beijing,said
1190,"Mr. Fields represented Brad Grey , the former talent manager and current chairman of Paramount Pictures , in litigation against Mr. Shandling and also against Bo Zenga , a screenwriter .",Mr. Fields,Brad,represented
1191,"If the Old City evokes Yemen 's prosperous , cosmopolitan days at the center of the world 's spice trade , the Martyrs ' Mosque , an imposing , ash-colored monolith , speaks to its present as the poorest and most primitive of the Arabian Peninsula states .",Old City,Yemen,evokes
1192,"The boards of Nissan and Renault voted Monday to explore a historic three-way alliance with General Motors , putting pressure on the embattled automotive giant to decide whether it wants two foreign companies , and their charismatic chief executive , Carlos Ghosn , to play a role in its revamping .",Renault,Monday,voted
1193,"While Prince Saud blamed Israel for starting a nuclear arms race in the Middle East , his implication that a nuclear-weapons-free Gulf might precede a regionwide nuclear-weapons-free zone is a nuanced departure from longstanding Arab insistence that regional arms control can not begin without Israel 's denuclearization .",Prince Saud,Israel,blamed
1194,"The young Wechsberg earned a Czech law degree but also spent time in Paris living la vie boheme , playing violin in Montmartre dives , at the Folies-Berg ere and eventually on French cruise ships .",Paris,la,living
1195,"Curt Schilling of the Boston Red Sox endorsed President Bush for re-election in 2004 , an autumn in which the Sox won the Series ; his Red Sox bosses endorsed Senator John Kerry of Massachusetts , the Democratic challenger .",Red Sox,President,endorsed
1196,Mr. Jumblatt urged President Bashar al-Assad of Syria to cooperate fully with the investigation .,Mr. Jumblatt,President,urged
1197,"The governing body of the Church of England voted Monday evening to divest from any corporations that it contends support Israel 's activities in Gaza and the West Bank , a move sharply criticized by Jewish groups in Britain and the United States .",England,Monday,voted
1198,"Last week , United States Marines landed in Beirut for the first time in 20 years to evacuate Americans as Israel bombed Lebanon in an attempt to defeat Hezbollah .",Israel,Lebanon,bombed
1199,"A3 Rocket Hits Deep Into Israel Defying Israel 's military advances into Gaza to help free a captured Israeli soldier , Palestinian militants in Gaza lobbed a rocket deep into Israel , further infuriating the prime minister , Ehud Olmert , above , who called it '' an escalation of unprecedented gravity . ''",Israel,Israel,Defying
1200,"In strikingly strong language , President Hamid Karzai warned Tuesday that a failure to bring peace to Afghanistan would destroy the whole region , and laid the blame squarely on neighboring Pakistan .",Hamid Karzai,Tuesday,warned
1201,"A6 China Sets African Trade Deals China and a number of African nations agreed on 16 trade and investment deals valued at $ 1.9 billion , as Beijing extended its efforts to create a broad economic and diplomatic partnership with Africa .",A6 China,African,Sets
1202,"After he was beaten by Alejandro Valverde of Spain , who rides for the Illes Balears team , Armstrong clutched Valverde 's hand in a gesture of respect .",Armstrong,Valverde,clutched
1203,A senior law enforcement official in Brussels said Belgium was on high alert . '',Brussels,Belgium,said
1204,Odelin plunked Hitoshi Tamura in the elbow with his fourth pitch to force in Japan 's first run .,Odelin,Hitoshi,plunked
1205,"An aide to Mr. Sadr said Mr. Bahadli was an important member of the cleric 's office in Sadr City , the poor Baghdad neighborhood from which Mr. Sadr draws tremendous support .",Mr. Sadr,Mr.,said
1206,"Of Gainesville , Florida died Friday morning at his home .",Florida,Friday,died
1207,"Dr. Piot said Cambodia and four states in India -LRB- Andhra Pradesh , Karnataka , Maharashtra and Tamil Nadu -RRB- showed a drop in new infections , joining Thailand 's earlier success .",Dr. Piot,Cambodia,said
1208,The surveillance case came to light Sunday after a woman in Selden told Suffolk County detectives that she discovered a computer hard drive containing images of her family using the bathroom .,Selden,Suffolk,told
1209,A reporter in Baghdad asked Rummy about the kerfuffle when Condi talked of '' thousands '' of tactical errors in Iraq .,Baghdad,Rummy,asked
1210,"A 2005 state epidemiology report showed that despite a slight decrease from previous years , Rio Arriba County led New Mexico with a staggering drug overdose rate of 43.9 deaths per 100,000 people , nearly three times the state average of 14.9 and well above the national average of 5.7 , last reported in 2002 .",Arriba County,New,led
1211,President Jacques Chirac of France said Tuesday that Europe remained steadfast in its desire to end the ban .,France,Tuesday,said
1212,Almost all of the 45 nations that spoke during a daylong debate on the Middle East on Thursday condemned Israel .,Thursday,Israel,condemned
1213,"GELSENKIRCHEN , GERMANY , JULY 1 -- Dumb and dumber : Eight years after David Beckham 's petulant foul helped England lose to Argentina in the quarterfinals , Wayne Rooney commits another gaffe that helps England lose to Portugal in a quarterfinal .",foul,England,helped
1214,"BERLIN , JULY 8 -- We watch on the tube as Germany defeats Portugal for third place in Stuttgart and fans wave the national flag , as they have learned to do in the past month .",Germany,Portugal,defeats
1215,"A court on Thursday blocked Bogazici University in Istanbul from holding the event , a debate and symposium on the killing of Armenians by Ottoman forces in the eastern part of what is now Turkey .",Thursday,Bogazici,blocked
1216,With the Census Bureau classifying Connecticut as a '' destination '' state for immigrants -- they will spend $ 3 billion in the state this year and send $ 300 million home -- Mr. Paniagua acknowledges that day laborer issues will require solutions brokered in Hartford and Washington .,Census Bureau,Connecticut,classifying
1217,"In Dublin , Prime Minister Bertie Ahern said Mr. Adams ' statement was '' significant and has potential . ''",Bertie Ahern,Mr.,said
1218,"An article on Friday about anti-Semitism in France in the 100 years since its supreme court absolved Capt. Alfred Dreyfus , a French Jewish army officer , of high treason , misstated the year and setting in which Dreyfus was wounded in an assassination attempt .",supreme court,Capt,absolved
1219,"Wal-Mart entered China in 1996 with a supercenter under its own name and a Sam 's Club in Shenzhen , near Hong Kong .",Mart,China,entered
1220,"Mr. Muskat 's Balkan Beat Box partner Ori Kaplan grew up in Jaffa , Israel , where he watched Egyptian orchestras on television and learned to play Eastern European klezmer clarinet from a Bulgarian trained by Gypsy brass musicians .",Bulgarian,Gypsy,trained
1221,"Ever since McGuire mined New York on behalf of North Carolina , college coaches across the country have haunted the city 's gyms , cultivating coaches and prospecting for talent at high schools like Lincoln in Brooklyn or Christ the King in Queens .",McGuire,New,mined
1222,"Wayne Arthurs and Paul Hanley outlasted Max Mirnyi and Vladimir Voltchkov , 3-6 , 6-4 , 5-7 , 6-3 , 7-5 , on hardcourts in Melbourne to give Australia an unassailable 3-0 lead in the best-of-five event .",Paul Hanley,Max,outlasted
1223,"Portland 's reputation for producing quality craft beers developed in the 1980 's , when Oregon repealed Prohibition-era laws banning brew pubs -LRB- restaurants with on-site breweries -RRB- , helping to pave the way for the opening of several microbreweries .",Oregon,Prohibition,repealed
1224,The Tehran daily newspaper Jomhouri Eslami hinted Sunday that Iran might agree to a three-month suspension of its enrichment program .,Jomhouri Eslami,Sunday,hinted
1225,"The exiled political head of the radical Islamic group Hamas said Saturday in Damascus , Syria , that the group would adopt '' a very realistic approach '' toward governing the Palestinian Authority and would work with the Fatah president , Mahmoud Abbas , on an acceptable political program .",Hamas,Saturday,said
1226,"THE BASICS Visiting Princeton Princeton is 52 miles southwest of New York City , about halfway between Philadelphia and New York .",BASICS,Princeton,Visiting
1227,"The meeting , with a Hezbollah leader named Nabil Qawuq , came on the third day of a three-week seminar in Lebanon , Syria , Jordan , Israel and the West Bank organized by Robert Worley , a retired professor from a Presbyterian seminary in Chicago as well as in Beirut .",West Bank,Robert,organized
1228,But Mr. Jarvis told Judy Woodruff on CNN 's '' Inside Politics '' yesterday that it had opposed a proposal in November to ban same-sex marriage in Ohio .,Mr. Jarvis,Judy,told
1229,"Al Qaeda in Mesopotamia claimed responsibility for the assault , which inflicted the biggest death toll in Baghdad since the American-led invasion of Iraq toppled Saddam Hussein more than two years ago .",Iraq,Saddam,toppled
1230,"President Hu Jintao of China met Thursday with the head of a Taiwan opposition party and agreed to a new , slightly altered linguistic framework as a potential vehicle for starting negotiations with Taiwan 's government .",China,Thursday,met
1231,"Before flying to Luxembourg to meet European Union officials , Ms. Rice said she was increasingly confident that all 26 countries in the military alliance would commit to some form of training for Iraqis before President Bush visits Brussels on Feb. 22 .",President Bush,Brussels,visits
1232,"B2 FASHION B8 SPORTSMONDAY D1-9 Sweden Wins Hockey Gold Thanks to a last-minute save by Henrik Lundqvist , a goalie who plays for the Rangers in the N.H.L. , Sweden defeated Finland , 3-2 , in the gold medal hockey game that was the final event of the 2006 Winter Olympics .",Sweden,Finland,defeated
1233,"But if Phoenix beats Dallas , it would bring US Airways Center into the series .",Phoenix,Dallas,beats
1234,"Because of editing errors , articles on Saturday and Sunday about Secretary of State Condoleezza Rice 's visit to England misstated Foreign Secretary Jack Straw 's relationship to Blackburn , England .",England,Foreign,misstated
1235,"Above all , Nasr reveals , the growing influence of Khomeini 's Shiite soldiers throughout the Middle East led Saudi Arabia to forge an '' axis '' with Pakistan , a country where Shiites are commonly labeled '' mosquitoes . ''",Middle East,Saudi,led
1236,An article on Monday about sermons in the New York region addressing the fifth anniversary of the Sept. 11 attacks misstated the name of the Roman Catholic church on Staten Island led by Msgr .,Staten Island,Msgr,led
1237,"Although Willie Randolph said Monday that he did not intend to use Thursday 's off day as an opportunity to skip Victor Zambrano 's turn in the rotation , the pitching coach , Rick Peterson , said before Tuesday 's game that he did not want to disrupt Tom Glavine 's pitching on four days ' rest and that Glavine would start Saturday in Atlanta .",Willie Randolph,Monday,said
1238,"But in Lebanon and in the search for peace in the Middle East , the United States and France have found two areas of mutual concern and agreement -- though Mr. Barnier repeated France 's call for an international conference on the Middle East , an idea the Bush administration opposes .",Mr. Barnier,France,repeated
1239,"Opens today in Manhattan Directed by Mark Levin Rated PG ; 92 minutes As they ride their scooters past sexually provocative billboards and window displays , many New York children become aware of adult impulses too soon .",Manhattan,Mark,Directed
1240,"On Sunday , Israel bombed Beirut suburbs where Hezbollah is based and raced to consolidate its positions in southern Lebanon , while Hezbollah fired more than 220 rockets into northern Israel and tried to send a truck bomb into the Israeli city of Metulla , the Israelis said .",Israel,Beirut,bombed
1241,"Nassau County rescued Nunley 's Carousel in 1995 , when the owners of Nunley 's Carousel and Amusements -- a fixture on Sunrise Highway in Baldwin for 56 years -- decided to retire , closed the amusement park and sold the land to Pep Boys .",Nassau County,Nunley,rescued
1242,"Mr. Dulaimi said Mr. Hussein told him he had escaped execution three times during his political career , first in 1959 , when he fled Iraq for Cairo after acting as a lookout for assassins who carried out an abortive assassination attempt in Baghdad against the Iraqi ruler , Gen. Abdul Karim Kassem .",Mr. Dulaimi,Mr.,said
1243,"But Mr. Fischer reiterated Monday that the concept of free travel between Germany and countries to the east was actually a creation of the opposition Christian Democratic Union , under Chancellor Helmut Kohl , whose purpose was to open up contacts with countries like Hungary and the Czech Republic to hasten their entry into the European Union .",Mr. Fischer,Monday,reiterated
1244,"Lizzy died October 12 , 2005 from cancer , peacefully in her sleep at her home in Alameda , California .",Lizzy,October,died
1245,PAGE A12 U.N. Chief Admits Fault Secretary General Kofi Annan took personal responsibility for management failures cited in a damning new report on the oil-for-food program and urged fundamental changes in the way the United Nations is run .,U.N. Chief,Fault,Admits
1246,"SUNDAY STYLES California Hit by Floods Severe flooding swamped Northern California , sent residents fleeing for shelter and touched off mudslides that damaged homes and threatened to destroy acres of farmland .",California,Floods,Hit
1247,"Born in Vienna in 1927 , Ms. Steiner moved with her family to Buenos Aires when Hitler annexed Austria in 1938 .",Hitler,Austria,annexed
1248,"A3 Israel Freezes Housing Plan Israel has bowed to the United States and frozen a much-criticized plan to add 3,500 housing units near a large West Bank settlement , according to Ehud Olmert , Israel 's deputy prime minister and a close ally of Prime Minister Ariel Sharon .",A3 Israel,Housing,A3
1249,"Despite the collective yearning of many among the moneyed , political elite that Mr. Parsons succeed Mr. Bloomberg , a Time Warner spokesman , Edward I. Adler , said it was not to be .",Mr. Parsons,Mr.,succeed
1250,"The White House said Thursday that a Democratic senator 's meeting with President Bashar al-Assad of Syria was inappropriate and undermined democracy in the region , while three more senators , including a Republican , made plans to visit Damascus in defiance of President Bush .",White House,Thursday,said
1251,"In the overall standings , Miller leads Aksel Lund Svindal of Norway and Erik Guay of Canada .",Miller,Aksel,leads
1252,"-LRB- Separately , the Israeli Army said Thursday morning that the air force launched airstrikes on 70 targets in southern Lebanon and Beirut overnight , Reuters reported . -RRB-",Army,Thursday,said
1253,"Battles raged in a half-dozen pockets , and Prime Minister Ehud Olmert said Israel would fight until an international force moved into southern Lebanon .",Ehud Olmert,Israel,said
1254,"The Security Council backed Secretary General Kofi Annan 's recommendation that talks begin soon to decide whether Kosovo , the Balkan province with a 90 percent ethnic Albanian population that has been run by the United Nations since a 1999 , gains its independence or remains part of Serbia .",Security Council,Secretary,backed
1255,"In Washington , Secretary of Defense Donald H. Rumsfeld said Tuesday that Iran had become a conduit for weapons smuggled into Iraq and used by insurgents , and he criticized Tehran for not doing more to prevent the smuggling . ''",H. Rumsfeld,Tuesday,said
1256,"For years , many Chinese scholars assumed that the Dongxiang descended from the Mongol soldiers in Genghis Khan 's army who eventually settled in Gansu during the 13th century when the Mongols ruled China under the Yuan Dynasty .",Mongols,China,ruled
1257,Israel said Friday that it would halt offensive military operations in Gaza and sharply reduce them in the West Bank in response to the steps taken by the Palestinian leadership .,Israel,Friday,said
1258,"Israel is prepared to hand over security control of several West Bank cities to the Palestinians in the next few days , Defense Minister Shaul Mofaz said Sunday , in the latest sign of increasing cooperation between the sides .",Shaul Mofaz,Sunday,said
1259,"Other remaining Republicans include Maine 's senators , Olympia J. Snowe and Susan Collins , both moderate mavericks .",Republicans,Maine,include
1260,"In the other semifinal draw , Lleyton Hewitt of Australia plays Roger Federer of Switzerland in the second match .",Australia,Roger,plays
1261,"An alliance with Renault of France and Nissan of Japan offers Mr. Kerkorian an opportunity to enlist the help of Carlos Ghosn , the hard-charging executive who oversees both companies .",Japan,Mr.,offers
1262,"Until the Pennsylvania native Gabe Norwood replaced Tony Skinn in the starting lineup last weekend , all five of George Mason 's starters were from Maryland . ''",Gabe Norwood,Tony,replaced
1263,"Rep. Jerrold Nadler , a Democrat representing Manhattan and Brooklyn , has been pursuing funding for a tunnel for the better part of two decades .",Democrat,Manhattan,representing
1264,"Events New York City SPROUT FILM FESTIVAL 2006 , New York University , Cantor Film Center , 36 East Eighth Street , Greenwich Village .",York City,FILM,SPROUT
1265,INTERNATIONAL A3-10 Helicopter Crashes in Iraq : 12 Americans Feared Dead Twelve Americans were believed to have been killed when an Army UH-60 Black Hawk helicopter crashed in northern Iraq between the restive cities of Tal Afar and Mosul .,Americans,Dead,Feared
1266,Russia changed St. Petersburg to Petrograd to Leningrad and back to St. Petersburg again after Lenin was discredited ; Volgograd regained its name after a period as Stalingrad -LRB- but some may be thinking of Putingrad -RRB- .,Russia,St.,changed
1267,"As possible candidates to succeed Mr. Negroponte in Baghdad , administration officials on Thursday mentioned Francis J. Ricciardone , the ambassador to the Philippines , and Richard H. Jones , a former ambassador to Kuwait and Lebanon , who has recently been designated to coordinate Iraq operations from the State Department .",Thursday,Francis,mentioned
1268,"When the Nazis invaded Poland in 1939 , she was a 16-year-old Jewish girl living in Sosnowiec , a town close to the German border .",Nazis,Poland,invaded
1269,"The United States draws significant benefits from our commerce with China , '' Mr. Gutierrez said Wednesday in a speech in Beijing after he held talks with senior Chinese leaders . ''",Mr. Gutierrez,Wednesday,said
1270,The European Union joined Washington on Thursday in confronting China at the World Trade Organization over tariffs that Beijing places on auto part imports .,European Union,Washington,joined
1271,It seems certain to be a source of contention when President Hu Jintao of China visits Washington in April .,China,Washington,visits
1272,"On Jan. 7 , after Zawahiri lambasted Muslim Brothers as U.S. stooges for taking part in Egypt 's parliamentary elections , A.F.P. reported the following from Cairo : '' Egypt 's Muslim Brotherhood responded Saturday to Al Qaeda 's accusations of complicity with Washington by charging that the Islamist violence advocated by Osama bin Laden 's network was counterproductive . ''",Zawahiri,Muslim,lambasted
1273,"Mirza defeated Marion Bartoli of France , 7-6 (4) , 6-4 , setting up a fourth-round match with Sharapova , who blew by Julia Schruff of Germany , 6-2 , 6-4 .",Mirza,Marion,defeated
1274,"Describing the importance of soccer , Carlin quoted Bill Shankly , the former Liverpool coach : '' Some people believe football is a matter of life and death .",Carlin,Bill,quoted
1275,Bishop Desmond Tutu arrived Saturday from South Africa to offer a Mass and urge this country to commit itself to national reconciliation .,Desmond Tutu,Saturday,arrived
1276,"A Memorial Service celebrating Michael 's life will be held on Saturday , April 29 , 2006 , at the Episcopal Church of Bethesda - By - The - Sea in Palm Beach at 11:00 A.M. In lieu of flowers , memorial contributions may be made to the Michael Flagler Matthews Sports Education Fund for the Community Foundation of Palm Beach and Martin Counties , 319 Clematis Street , Suite 900 , West Palm Beach , Florida 33401 .",Memorial Service,Michael,celebrating
1277,"The History In the 19th century , before New York annexed Queens , Elmhurst was part of Newtown , one of the three townships that made up the area .",New York,Queens,annexed
1278,"NEGLEY -- William died November 7 , 2006 in San Antonio , Texas .",William,November,died
1279,A8 Video Disputes China 's Claim A videotape that appears to show Chinese security forces shooting two Tibetan refugees in the Himalayas contradicts Beijing 's claim that the refugees were shot when soldiers acted in self-defense .,Himalayas,Beijing,contradicts
1280,"Although administration officials continue to insist that the invasion of Iraq somehow made sense as part of a broadly defined war on terror , the Senate Select Committee on Intelligence has just released a report confirming that Saddam Hussein regarded Al Qaeda as a threat , not an ally ; he even made attempts to capture Abu Musab al-Zarqawi .",Saddam Hussein,Al,regarded
1281,"Lizzy died October 12 , 2005 from cancer , peacefully in her sleep at her home in Alameda , California .",Lizzy,October,died
1282,"Ever loyal to his native borough , in the spring of 1985 Mr. Halperin flew to a certain large city in California whose baseball team used to play in Brooklyn , for a reunion of 800 transplanted New Yorkers organized by Louis Zigman , a fellow former member of Boy Scout Troop 114 in Manhattan Beach .",New Yorkers,Louis,organized
1283,"Mauresmo , a Wimbledon semifinalist who had not played in the Fed Cup since France beat Spain in last year 's semis , breezed to a 6-4 , 6-3 victory over Anabel Medina Garrigues .",France,Spain,beat
1284,"BUSINESS DAY , PAGE C1 New Death Penalty Bid Gov. Mitt Romney of Massachusetts introduced a bill that would reinstate capital punishment in his state by creating a death penalty he called virtually foolproof .",PAGE C1,New,New
1285,"Three weeks after the police in India accused Pakistan 's intelligence agency of colluding in serial bombings on the commuter train line in Mumbai , the commercial capital , a senior Indian official said in an interview broadcast Sunday that the evidence was short of '' clinching . '' ''",India,Pakistan,accused
1286,"On Sunday , Israel bombed Beirut suburbs where Hezbollah is based and raced to consolidate its positions in southern Lebanon , while Hezbollah fired more than 220 rockets into northern Israel and tried to send a truck bomb into the Israeli city of Metulla , the Israelis said .",Israel,Beirut,bombed
1287,"A7 Warning for Americans in India The United States Embassy in New Delhi warned Americans that foreign terrorists , possibly linked to Al Qaeda , were planning a series of bombings in India 's major cities in the days leading up to the nation 's Independence Day next week .",New Delhi,Americans,warned
1288,"Pulling away from an agreed American and European policy , President Vladimir V. Putin of Russia said Thursday that he was considering inviting the newly victorious leaders of the radical Palestinian Islamic group Hamas to Moscow to discuss solutions to the conflict in the Middle East .",Russia,Thursday,said
1289,"Prosecutors for the International Criminal Court announced Monday that they had begun an investigation into war crimes in Sudan , opening the door for indictments and warrants for those considered most responsible for the ethnic violence and starvation that has exterminated hundreds of villages in Darfur .",Criminal Court,Monday,announced
1290,"Assembly Speaker Sheldon Silver , a Manhattan Democrat , had pushed for more money for New York City , and Mr. Pataki said Republicans had agreed to a plan to distribute an additional $ 300 million to cities across the state over the next three years .",Mr. Pataki,Republicans,said
1291,"In Mississippi , Gov. Haley Barbour announced Tuesday evening that the state 's '' unofficial but credible estimate '' of the death toll was at 196 , but that it was still rising .",Haley Barbour,Tuesday,announced
1292,"B1 Kelly Seeks PATH Report Raymond W. Kelly , the New York police commissioner , said he had asked the Port Authority of New York and New Jersey to turn over a copy of a security analysis of the PATH train tubes beneath the Hudson River that shows that they might be more vulnerable than previously thought to a small but powerful bomb .",B1 Kelly,PATH,Seeks
1293,"China honored Islam A. Karimov , the president of Uzbekistan , with a 21-gun salute and a private meeting with President Hu Jintao on Wednesday , courting him shortly after his army led a violent crackdown on dissent .",China,Islam,honored
1294,"Asked why there was so much Benjamin Franklin memorabilia in the sale , Mrs. de la Renta replied , '' Benjamin Franklin represented America in Paris ; I think he reminded her of Paris . ''",Benjamin Franklin,America,represented
1295,"The statement , issued Friday at 10:30 p.m. , followed a dinner in Detroit attended by Carlos Ghosn , the chief executive of Renault of France and Nissan of Japan , and Rick Wagoner , who runs General Motors .",Detroit,Carlos,attended
1296,"B1 SPORTSTHURSDAY D1-8 U.S. Open Continues American Robby Ginepri upset Guillermo Coria of Argentina , 4-6 , 6-1 , 7-5 , 3-6 , 7-5 , to earn a place in the semifinals of the United States Open .",U.S. Open,American,Continues
1297,The Palestinians say Israel is free to build a barrier along its 1967 borders but adamantly oppose its presence inside the occupied West Bank .,Palestinians,Israel,say
1298,"A6 Israel May Widen Gaza Actions Prime Minister Ehud Olmert of Israel said that Israel may expand military operations in the Gaza Strip , but that it has no intention of reoccupying the territory .",A6 Israel,Widen,May
1299,"The Bush and Chavez administrations hold different views on hemispheric integration , with United States wanting to expand it , based on the model of trade agreements like Nafta , and Venezuela promoting Latin America first , before further integration with the North American economies . ''",Venezuela,Latin,promoting
1300,"Secretary of State Condoleezza Rice departed Sunday for the Middle East , on a trip billed by aides as an effort to bolster the embattled Palestinian Authority president , Mahmoud Abbas , in his struggles with the militant Islamic group Hamas , and to consult with Arab allies on Iran 's nuclear program and the turmoil in Iraq .",Condoleezza Rice,Sunday,departed
1301,"Reality Show Incident Draws Australia 's Scrutiny Helen Coonan , Australia 's minister for communications , information technology and the arts , called yesterday for a police investigation into a suspected sexual harassment incident on the reality show '' Big Brother '' that led to the expulsion of two contestants , Agence France-Presse reported .",Show,Australia,Draws
1302,The former player agent and onetime Toronto Maple Leafs executive Bill Watters said Gretzky 's undoing might have been his decision '' to remain loyal '' to players who had helped Canada win the 2002 Olympic gold medal and 2004 World Cup of Hockey .,Bill Watters,Gretzky,said
1303,"Four years later , in 1995 , Beijing approved Morgan Stanley 's joint venture with China Construction Bank .",Beijing,Morgan,approved
1304,"Siebel Systems Ousts Chief The software maker Siebel Systems announced that its board had ousted its chief , J. Michael Lawrie , and named George Shaheen , a board member , to replace him .",Siebel Systems,Chief,Ousts
1305,"But unlike prototypical Los Angeles tough guys like Raymond Chandler 's idealistic private eye Philip Marlowe , the flawed Bruno Dante traverses Los Angeles 's mean streets only to confront the corruption and degeneracy within himself .",Bruno Dante,Los,traverses
1306,"President Bush and Prime Minister Tony Blair of Britain said Wednesday that the military coalition in Iraq was not fraying despite comments from one of the alliance 's leaders , Prime Minister Silvio Berlusconi of Italy , that he aimed to begin bringing home his nation 's 3,000 troops by September .",Britain,Wednesday,said
1307,"In Rio de Janeiro , Rogerio Fasano hired Philippe Starck to design his Ipanema hotel -LRB- www.fasano.com.br -RRB- , and in the state of Minas Gerais , the new arts center Inhotim -LRB- www.caci.org.br -RRB- brings works by Paul McCarthy and Olafur Eliasson to the heart of Brazil .",Rogerio Fasano,Philippe,hired
1308,"Later in the day , in New Delhi , Mr. Bush called on India to continue to raise its ceilings on foreign investment and to continue to open its markets to American goods , and reiterated that a major nuclear pact that he and Prime Minister Manmohan Singh of India announced Thursday would help India meet its enormous energy needs .",India,Thursday,announced
1309,"Secretary General Kofi Annan welcomed Mr. Bolton , but told reporters that the new ambassador should consult with others as the administration continued to press for changes at the United Nations . ''",Kofi Annan,Mr.,welcomed
1310,"Recently Mr. Nischan opened Pure , a restaurant in the Taj Lands End hotel in Mumbai , India , based on the '' wellness '' recipes he developed when he ran Heartbeat in the W New York hotel on East 49th Street starting in the late 1990 's .",Mr. Nischan,Pure,opened
1311,"Last May , three and a half months before Hurricane Katrina devastated New Orleans , a San Antonio lawyer named Stanley Rosenberg told a local reporter that the New Orleans Saints might be contemplating a move to San Antonio .",Hurricane Katrina,New,devastated
1312,"Mr. Rowhani said Iran was waiting to restart the enrichment process because of appeals not to abandon the negotiations from the European Union , Russia , Japan and Kofi Annan , the United Nations secretary general . ''",Mr. Rowhani,Iran,said
1313,"A15 NEW YORK\/REGION B1-6 Support for Senator 's Rival Reveals Democrats ' Angst Ned Lamont , originally a long shot in his bid to replace Senator Joseph I. Lieberman of Connecticut , has emerged as a legitimate contender and become a darling of the antiwar left .",Rival,Democrats,Rival
1314,Father Song said Rome 's ties to Taiwan '' make it impossible to improve relations between China and the Vatican . '',Father Song,Rome,said
1315,"-------------------- Turn Pledges to Cash , Annan Urges JAKARTA , Indonesia , Thursday , Jan. 6 -LRB- Agence France-Presse -RRB- -- Secretary General Kofi Annan of the United Nations said Thursday that $ 977 million was immediately needed to cover emergency needs for survivors of the tsunami over the next six months .",United Nations,Thursday,said
1316,Mr. Sherpa comes from a village in Nepal named Salleri near Mount Everest .,Nepal,Salleri,named
1317,"INTERNATIONAL A3-9 Longtime Deputy Favored By Shiites to Lead Iraq Shiite leaders selected Jawad al-Maliki , one of their more conservative , forceful and outspoken officials , as their nominee for prime minister , opening the door for him to become the leader of Iraq 's first full-term government since the fall of Saddam Hussein .",Longtime Deputy,Shiites,Favored
1318,"A8 Chinese Leader Ends U.S. Trip President Hu Jintao of China wound up his visit to the United States with a foreign policy address at Yale that offered an upbeat vision of Chinese-American ties , as the two sides tried to shake off the effects of two protocol blunders during the White House reception for Mr. Hu .",Chinese Leader,U.S.,Ends
1319,"Ms. Kleinman said Thanksgiving pies will be coming out of the oven soon : 448 Atlantic Avenue -LRB- Nevins Street -RRB- , Boerum Hill , Brooklyn , (718) 246-2402 .",Ms. Kleinman,Thanksgiving,said
1320,"The spirit of the late poet laureate Sir John Betjeman -- whose light satirical verse nostalgically evoked the Victorian era and a vanished England -- hovers over this novel -LRB- the Judds ' country house is a short walk from his grave -RRB- , and Charles experiences Ju-Ju 's fall from grace as a kind of metaphor for all the changes he sees overtaking his family and his country .",Charles,Ju,experiences
1321,"Zucker Named Chief of NBC Universal Television NBC elevated Jeff Zucker , left , one of the fastest-rising executives in the network 's history , to chief executive of the NBC Universal Television Group yesterday , establishing him as the likely successor to NBC 's longtime leader , Bob Wright .",Television NBC,Jeff,elevated
1322,"China disclosed Tuesday that its trade surplus surged to $ 11.19 billion in March , its second-highest monthly surplus ever and a level that could feed trade frictions in advance of President Hu Jintao 's visit to the United States next week .",China,Tuesday,disclosed
1323,"I wanted to recreate the atmosphere of the main room at Dior named le Grand Salon , '' said Ms. de Castellane , who moved to the house in 1997 from Chanel , where she was a muse to Karl Lagerfeld and once released a song called '' Shock Waves . '' ''",Dior,le,named
1324,The argument that Iran helped America in Afghanistan because it was in Tehran 's interest to get rid of the Taliban is misplaced .,Iran,America,helped
